INFO - latent_diffusion_cond.py - 2025-12-28 12:38:50,119 - Wandb initialized
PlantVillageLatent train: 17542 images, 15 classes
  Class distribution: {10: 1427, 2: 861, 7: 1630, 12: 2725, 3: 871, 6: 850, 14: 1322, 5: 1786, 0: 850, 1: 1250, 11: 1218, 9: 1494, 8: 812, 13: 317, 4: 129}
PlantVillageLatent val: 1547 images, 15 classes
  Class distribution: {1: 113, 10: 125, 2: 63, 14: 136, 7: 129, 12: 246, 6: 69, 8: 75, 3: 60, 9: 139, 11: 93, 5: 172, 13: 37, 0: 79, 4: 11}
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:32,597 - Saved 500 real images for val
INFO - latent_diffusion_cond.py - 2025-12-28 12:39:33,657 - Training: 17542 samples, 15 classes
INFO - latent_diffusion_cond.py - 2025-12-28 13:27:55,701 - Step 4700, Loss: 0.2519, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:28:55,608 - Step 4800, Loss: 0.2042, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:29:55,472 - Step 4900, Loss: 0.2724, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:30:56,979 - Step 5000, Loss: 0.2865, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:31:56,632 - Step 5100, Loss: 0.2805, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:32:56,889 - Step 5200, Loss: 0.2382, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:33:58,538 - Step 5300, Loss: 0.2435, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:34:58,958 - Step 5400, Loss: 0.2772, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:36:00,522 - Step 5500, Loss: 0.2321, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:37:00,575 - Step 5600, Loss: 0.2198, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:38:00,370 - Step 5700, Loss: 0.2815, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:39:01,858 - Step 5800, Loss: 0.2238, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:40:02,192 - Step 5900, Loss: 0.2878, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:41:02,696 - Step 6000, Loss: 0.2551, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:42:04,038 - Step 6100, Loss: 0.2732, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:43:04,373 - Step 6200, Loss: 0.2298, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:44:04,909 - Step 6300, Loss: 0.2444, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:45:06,952 - Step 6400, Loss: 0.3140, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:46:08,145 - Step 6500, Loss: 0.2682, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:47:12,118 - Step 6600, Loss: 0.2478, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:48:12,841 - Step 6700, Loss: 0.2437, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:49:13,038 - Step 6800, Loss: 0.2861, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:50:15,088 - Step 6900, Loss: 0.2202, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:51:16,013 - Step 7000, Loss: 0.3106, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:52:17,187 - Step 7100, Loss: 0.2813, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:53:18,857 - Step 7200, Loss: 0.2533, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:54:19,814 - Step 7300, Loss: 0.2598, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:55:23,017 - Step 7400, Loss: 0.1866, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:56:24,281 - Step 7500, Loss: 0.2304, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:57:23,997 - Step 7600, Loss: 0.2616, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:58:26,414 - Step 7700, Loss: 0.2953, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 13:59:27,123 - Step 7800, Loss: 0.2539, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:00:27,565 - Step 7900, Loss: 0.3080, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:01:30,154 - Step 8000, Loss: 0.2340, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:02:30,251 - Step 8100, Loss: 0.1751, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:03:30,572 - Step 8200, Loss: 0.2970, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:04:32,388 - Step 8300, Loss: 0.2755, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:05:32,526 - Step 8400, Loss: 0.2635, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:06:34,323 - Step 8500, Loss: 0.2807, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:07:34,615 - Step 8600, Loss: 0.2643, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:08:35,386 - Step 8700, Loss: 0.2898, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:09:38,735 - Step 8800, Loss: 0.2652, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:10:40,072 - Step 8900, Loss: 0.3076, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:11:39,983 - Step 9000, Loss: 0.2263, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:12:41,525 - Step 9100, Loss: 0.1960, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:13:41,600 - Step 9200, Loss: 0.2467, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:14:41,442 - Step 9300, Loss: 0.2686, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:15:42,616 - Step 9400, Loss: 0.2774, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:16:42,664 - Step 9500, Loss: 0.2535, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:17:44,339 - Step 9600, Loss: 0.2149, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:18:44,453 - Step 9700, Loss: 0.2768, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:19:44,127 - Step 9800, Loss: 0.2796, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:20:46,352 - Step 9900, Loss: 0.2434, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:21:46,906 - Step 10000, Loss: 0.2665, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:22:55,355 - Step 10100, Loss: 0.3052, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:23:59,137 - Step 10200, Loss: 0.2131, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:25:02,054 - Step 10300, Loss: 0.3067, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:26:05,440 - Step 10400, Loss: 0.2831, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:27:10,553 - Step 10500, Loss: 0.2828, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:28:13,702 - Step 10600, Loss: 0.2670, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:29:15,804 - Step 10700, Loss: 0.2498, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:30:17,215 - Step 10800, Loss: 0.2377, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:31:17,167 - Step 10900, Loss: 0.2918, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:32:19,800 - Step 11000, Loss: 0.2400, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:33:20,193 - Step 11100, Loss: 0.2737, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:34:20,993 - Step 11200, Loss: 0.2989, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:35:22,964 - Step 11300, Loss: 0.2410, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:36:27,531 - Step 11400, Loss: 0.2993, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:37:28,508 - Step 11500, Loss: 0.3038, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:38:31,202 - Step 11600, Loss: 0.2559, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:39:32,242 - Step 11700, Loss: 0.2199, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:40:34,411 - Step 11800, Loss: 0.3293, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:41:34,365 - Step 11900, Loss: 0.2316, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:42:34,430 - Step 12000, Loss: 0.2549, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:43:36,565 - Step 12100, Loss: 0.2466, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:44:37,770 - Step 12200, Loss: 0.2203, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:45:38,391 - Step 12300, Loss: 0.2239, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:46:40,029 - Step 12400, Loss: 0.2454, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:47:40,285 - Step 12500, Loss: 0.1901, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:48:40,541 - Step 12600, Loss: 0.2778, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:49:42,353 - Step 12700, Loss: 0.2388, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:50:43,037 - Step 12800, Loss: 0.2853, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:51:44,664 - Step 12900, Loss: 0.2161, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:52:44,460 - Step 13000, Loss: 0.2427, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:53:44,348 - Step 13100, Loss: 0.2649, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:54:47,968 - Step 13200, Loss: 0.2545, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:55:49,315 - Step 13300, Loss: 0.2534, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:56:49,978 - Step 13400, Loss: 0.2514, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:57:52,220 - Step 13500, Loss: 0.2627, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:58:53,371 - Step 13600, Loss: 0.2403, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 14:59:54,981 - Step 13700, Loss: 0.2980, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:00:58,059 - Step 13800, Loss: 0.2719, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:01:58,408 - Step 13900, Loss: 0.2444, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:03:00,834 - Step 14000, Loss: 0.3254, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:04:02,242 - Step 14100, Loss: 0.2818, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:05:03,372 - Step 14200, Loss: 0.2317, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:06:05,168 - Step 14300, Loss: 0.2649, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:07:06,836 - Step 14400, Loss: 0.2501, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:08:07,641 - Step 14500, Loss: 0.2687, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:09:10,109 - Step 14600, Loss: 0.2309, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:10:09,767 - Step 14700, Loss: 0.2871, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:11:11,435 - Step 14800, Loss: 0.2892, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:12:11,933 - Step 14900, Loss: 0.2702, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:13:12,502 - Step 15000, Loss: 0.2371, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:14:14,498 - Step 15100, Loss: 0.2687, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:15:14,497 - Step 15200, Loss: 0.2902, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:16:14,665 - Step 15300, Loss: 0.2367, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:17:16,672 - Step 15400, Loss: 0.2580, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:18:17,160 - Step 15500, Loss: 0.2207, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:19:17,848 - Step 15600, Loss: 0.2565, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:20:17,641 - Step 15700, Loss: 0.2202, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:21:18,569 - Step 15800, Loss: 0.2616, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:22:21,743 - Step 15900, Loss: 0.2586, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:23:21,767 - Step 16000, Loss: 0.2425, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:24:21,372 - Step 16100, Loss: 0.2400, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:25:22,683 - Step 16200, Loss: 0.2658, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:26:23,320 - Step 16300, Loss: 0.2674, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:27:23,681 - Step 16400, Loss: 0.2443, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:28:26,477 - Step 16500, Loss: 0.2092, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:29:27,482 - Step 16600, Loss: 0.2554, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:30:28,980 - Step 16700, Loss: 0.2811, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:31:30,983 - Step 16800, Loss: 0.1964, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:32:31,632 - Step 16900, Loss: 0.2476, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:33:34,423 - Step 17000, Loss: 0.2519, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:34:35,122 - Step 17100, Loss: 0.2999, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:35:36,243 - Step 17200, Loss: 0.3082, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:36:35,380 - Step 17300, Loss: 0.2310, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:37:33,735 - Step 17400, Loss: 0.2385, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:38:33,696 - Step 17500, Loss: 0.2865, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:39:36,912 - Step 17600, Loss: 0.2907, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:40:37,914 - Step 17700, Loss: 0.2530, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:41:39,056 - Step 17800, Loss: 0.2783, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:42:43,029 - Step 17900, Loss: 0.3252, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:43:45,474 - Step 18000, Loss: 0.2469, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:44:49,010 - Step 18100, Loss: 0.2418, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:45:49,817 - Step 18200, Loss: 0.2378, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:46:52,279 - Step 18300, Loss: 0.2526, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:47:55,146 - Step 18400, Loss: 0.1909, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:48:55,365 - Step 18500, Loss: 0.2239, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:49:55,446 - Step 18600, Loss: 0.2576, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:50:58,070 - Step 18700, Loss: 0.2562, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:51:57,976 - Step 18800, Loss: 0.2799, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:52:57,408 - Step 18900, Loss: 0.3333, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:53:58,530 - Step 19000, Loss: 0.2372, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:54:57,776 - Step 19100, Loss: 0.2660, LR: 0.000100
INFO - latent_diffusion_cond.py - 2025-12-28 15:55:59,122 - Step 19200, Loss: 0.2374, LR: 0.000100
